year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1960,We Got Love,Bobby Rydell,Pop,6,17,159000,42,0.34,0.786,-15.819,0.0285,0.0954
1960,Why,Frankie Avalon,Pop,1,16,161000,85,0.631,0.691,-6.478,0.0368,0.104
1960,Wonderful World,Sam Cooke,Pop,12,15,139000,78,0.165,0.271,-20.652,0.0351,0.118
1960,This Magic Moment,The Drifters,R&B,16,11,151560,49,0.599,0.271,-4.63,0.0326,0.11
1960,Puppy Love,Paul Anka,Pop,2,14,161000,57,0.443,0.234,-7.605,0.0361,0.25
1960,Teen Angel,Mark Dinning,Pop,1,18,233000,33,0.955,0.517,-4.889,0.0653,0.314
1960,This Bitter Earth,Dinah Washington,Jazz,24,14,150666,43,0.177,0.307,-15.702,0.0497,0.259
1960,Sweet Dreams,Don Gibson,Country,93,4,133466,25,0.455,0.423,-10.742,0.0297,0.139
1960,I Love The Way You Love,Marv Johnson,Pop,9,13,163000,59,0.267,0.477,-8.625,0.0301,0.336
1960,Save The Last Dance For Me,The Drifters,Pop,1,18,154000,63,0.53,0.54,-10.583,0.0361,0.198
1960,Stairway To Heaven,Neil Sedaka,Pop,9,15,482000,78,0.34,0.338,-12.049,0.0339,0.116
1960,Saved,LaVern Baker,R&B,37,7,174733,22,0.6,0.608,-12.372,0.0527,0.437
1960,I Believe I'm Gonna Make It,Joe Tex,R&B,67,5,179068,20,0.545,0.519,-9.557,0.0353,0.258
1960,Road Runner,Bo Diddley,Blues,75,6,167866,41,0.784,0.54,-10.369,0.0575,0.346
1960,Let The Little Girl Dance,Billy Bland,Pop,7,20,143000,29,0.532,0.583,-9.449,0.0784,0.36
1960,Lonely Blue Boy,Conway Twitty,Pop,6,15,135000,34,0.342,0.659,-13.709,0.0353,0.248
1960,That's Why (I Love You So),Jackie Wilson,R&B,13,13,126226,35,0.803,0.72,-8.443,0.0868,0.362
1960,My Home Town,Paul Anka,Pop,8,13,153000,20,0.404,0.496,-13.523,0.0419,0.178
1960,The Village Of St. Bernadette,Andy Williams,Pop,7,13,201000,11,0.231,0.228,-12.942,0.0292,0.367
1960,Hound Dog Man,Fabian,Pop,9,15,171000,41,0.347,0.596,-14.827,0.0647,0.353
1960,Sandy,Larry Hall,Pop,15,15,160000,59,0.341,0.446,-16.397,0.0547,0.144
1960,My Heart Has A Mind Of Its Own,Connie Francis,Pop,1,17,152000,23,0.539,0.495,-6.088,0.0336,0.325
1960,At Last,Etta James,R&B,47,8,179693,75,0.348,0.274,-8.631,0.0293,0.334
1960,Will You Love Me Tomorrow,The Shirelles,R&B,1,19,160320,64,0.379,0.513,-9.679,0.0314,0.417
1960,I Want To Be Wanted,Brenda Lee,Pop,1,15,740000,51,0.0986,0.13,-25.793,0.0402,0.13
1960,All I Could Do Was Cry,Etta James,R&B,33,15,175626,52,0.244,0.363,-8.968,0.0303,0.456
1960,You Talk Too Much,Joe Jones,Pop,3,13,186000,51,0.971,0.304,-3.226,0.0351,0.0799
1960,Spanish Harlem,Ben E. King,R&B,10,16,174293,56,0.594,0.608,-11.86,0.0435,0.129
1960,Ruby,Ray Charles,Jazz,28,9,234120,32,0.21,0.226,-13.748,0.0333,0.105
1960,Let It Be Me,The Everly Brothers,Pop,7,15,280000,54,0.283,0.614,-8.008,0.027,0.114
1960,Night,Jackie Wilson,Pop,4,17,86000,88,0.757,0.482,-4.586,0.0355,0.143
1960,When Will I Be Loved,The Everly Brothers,Pop,8,13,124000,59,0.573,0.513,-10.023,0.0337,0.0878
1960,Paper Roses,Anita Bryant,Pop,5,17,158000,38,0.504,0.359,-10.555,0.0349,0.332
1960,Cradle Of Love,Johnny Preston,Pop,7,15,281000,50,0.942,0.612,-4.588,0.0399,0.0909
1960,Spanish Harlem,Aretha Franklin,R&B,2,12,213560,39,0.619,0.66,-12.577,0.0466,0.0828
1961,Wings Of A Dove,Ferlin Husky,Pop,12,18,139000,46,0.56,0.471,-11.716,0.0405,0.123
1961,Running Scared,Roy Orbison,Pop,1,17,132000,45,0.392,0.572,-10.555,0.0325,0.15
